LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	speed	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	1.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	2.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	3.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	4.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	5.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	6.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	7.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	8.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	9.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	10.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	11.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	12.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	13.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	14.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	15.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	16.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	17.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	18.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	19.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	20.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	21.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	22.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	23.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	24.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	25.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	26.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	27.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	28.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	29.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	30.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	31.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	32.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
0	0	0	5.78703703703704E-07	0	0	33.125	SpawnRate	0.005	100	200	5	0	240	0.6	15	0.7	0.2	
