LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	speed	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	1.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	2.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	3.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	4.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	5.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	6.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	7.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	8.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	9.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	10.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	11.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	12.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	13.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	14.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	15.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	16.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	17.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	18.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	19.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	20.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	21.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	22.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
-0.1150178	0.1354241	0.4866747	0	3	3	23.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
-0.1116331	0.1443482	0.4891654	0	4	1	24.955	SpawnRate	0.1	2	200	10	0	240	0.6	15	0.7	0.2	
