density	velocityVariance	speedMean	currentSpeed	currentAcc	exp	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	

0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	

0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	

0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	
0	0	0	10	50	1	






0	0	NaN	10	50	1	
0	0	NaN	10	50	1	
2.546479E-06	0	8.330487	10	50	1	
5.092958E-06	0.9514041	9.020327	10	50	1	
7.639437E-06	0.5682808	8.940003	10	50	1	
1.018592E-05	1.049841	9.200408	10	50	1	
1.273239E-05	2.999679	9.759621	10	50	1	
1.527887E-05	7.12648	9.550845	10	50	1	
1.782535E-05	10.34129	9.763988	10	50	1	
2.037183E-05	5.799449	9.140141	10	50	1	
2.037183E-05	1.235002	8.890388	10	50	1	
2.037183E-05	1.064718	9.514487	10	50	1	
2.037183E-05	6.749752	10.15614	10	50	1	
2.291831E-05	5.546314	10.25205	10	50	1	
2.291831E-05	5.86725	9.883241	10	50	1	
2.291831E-05	6.449941	9.138876	10	50	1	
1.782535E-05	1.806796	8.949672	10	50	1	
2.037183E-05	4.670763	8.795723	10	50	1	
2.037183E-05	6.15524	9.095275	10	50	1	
1.782535E-05	1.722726	8.86789	10	50	1	
2.037183E-05	4.6004	9.2318	10	50	1	
1.782535E-05	2.105774	9.002971	10	50	1	
2.037183E-05	1.724189	8.857653	10	50	1	
2.037183E-05	0.3375016	8.834797	10	50	1	
2.037183E-05	0.6782898	9.084816	10	50	1	
1.782535E-05	0.8699117	9.482285	10	50	1	
2.037183E-05	5.548501	10.23043	10	50	1	
1.782535E-05	4.311775	10.37393	10	50	1	

0	0	NaN	10	50	1	
0	0	NaN	10	50	1	
4.83831E-05	2.963885	8.600404	10	50	1	
9.421972E-05	4.529913	8.566477	10	50	1	
0.0001400563	4.280293	8.490859	10	50	1	
0.0001833465	3.912376	8.444077	10	50	1	
0.0002189972	3.711144	8.413905	10	50	1	
0.0002622873	3.48005	8.414165	10	50	1	
0.0002877521	2.956879	8.400881	10	50	1	
0.0003208563	5.138894	8.405707	10	50	1	
0.0003335887	5.175429	8.415874	10	50	1	
0.0003616	6.629354	8.424957	10	50	1	
0.0003794254	6.398882	8.450856	10	50	1	
0.0003692395	5.059015	8.460448	10	50	1	
0.0003514141	8.933351	8.461334	10	50	1	
0.0003514141	5.480957	8.453818	10	50	1	
0.0003590535	4.650744	8.434107	10	50	1	
0.0003539606	4.780951	8.426527	10	50	1	
0.0003539606	32.99689	8.356907	10	50	1	

0	0	NaN	10	50	1	
0	0	NaN	10	50	1	
2.546479E-06	0	8.330487	10	50	1	
5.092958E-06	0.9514028	9.020327	10	50	1	
7.639437E-06	1.03418	9.158992	10	50	1	
1.018592E-05	0.9232168	8.878866	10	50	1	
1.273239E-05	0.8754272	8.811148	10	50	1	
1.273239E-05	0.7299182	8.752612	10	50	1	
1.273239E-05	0.8239114	9.085294	10	50	1	
1.527887E-05	1.046877	9.384517	10	50	1	
1.782535E-05	3.949671	9.636953	10	50	1	
2.037183E-05	2.486153	9.327126	10	50	1	
1.782535E-05	1.723592	9.183427	10	50	1	
2.037183E-05	4.087436	9.989968	10	50	1	
2.291831E-05	5.669083	10.26639	10	50	1	
2.037183E-05	2.786354	9.72316	10	50	1	
2.037183E-05	1.141009	9.046312	10	50	1	
2.037183E-05	1.614056	9.097928	10	50	1	
2.291831E-05	5.341175	9.500072	10	50	1	
2.291831E-05	5.890759	9.41284	10	50	1	
2.546479E-05	2.553641	9.080404	10	50	1	
2.291831E-05	0.2331833	8.681369	10	50	1	
2.291831E-05	0.5825003	8.9532	10	50	1	
1.527887E-05	2.010212	10.10845	10	50	1	
1.782535E-05	25.3834	9.360442	10	50	1	
1.527887E-05	12.35008	9.383646	10	50	1	
1.527887E-05	5.647076	9.681374	10	50	1	
1.782535E-05	2.207036	9.312848	10	50	1	
1.527887E-05	1.772824	9.18387	10	50	1	
1.782535E-05	3.810575	9.138529	10	50	1	
1.782535E-05	0.2755539	8.760987	10	50	1	
2.037183E-05	0.8507823	8.923166	10	50	1	
2.291831E-05	1.397116	9.272713	10	50	1	
2.291831E-05	3.990916	9.874057	10	50	1	
2.291831E-05	8.289276	9.91032	10	50	1	
2.291831E-05	8.322843	9.692341	10	50	1	
