LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.66377314814815E-06	0	0	1.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	3.39988425925926E-06	0	0	2.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	5.35300925925926E-06	0	0	3.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	7.2337962962963E-06	0	0	4.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	9.04224537037037E-06	0	0	5.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.07783564814815E-05	0	0	6.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.26591435185185E-05	0	0	7.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.45399305555556E-05	0	0	8.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.62760416666667E-05	0	0	9.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	1.81568287037037E-05	0	0	10.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	2.01099537037037E-05	0	0	11.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	2.19907407407407E-05	0	0	12.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0	0	0	2.37991898148148E-05	0	0	13.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
-0.4403159	0.08361653	0.3120405	2.56076388888889E-05	4	0	14.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0.3320591	0.08815042	0.4976497	2.7416087962963E-05	7	4	15.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0.3320591	0.08815042	0.4976497	2.9296875E-05	7	3	16.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
-0.3413836	0.1049005	-0.5040388	3.125E-05	8	0	17.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
-0.3413836	0.1049005	-0.5040388	3.29861111111111E-05	8	1	18.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
0.3232184	0.09035324	0.4712336	3.49392361111111E-05	14	0	19.93	SpawnRate	2	0.05	200	0	240	0.6	15	0.7	0.2	
