LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	0.1949997	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	1.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	2.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	3.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	4.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	5.194999	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	6.194999	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	7.194999	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	8.194999	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	9.194999	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	10.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	11.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	12.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	13.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	14.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	15.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	16.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	17.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	18.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	19.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	20.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	21.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	22.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	23.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	24.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	25.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	26.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	27.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	28.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	29.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	30.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	31.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	32.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	33.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	34.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	35.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	36.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	37.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	38.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	2.89351851851852E-07	0	0	39.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	2.89351851851852E-07	0	0	40.195	SpawnRate	0.005	100	600	0	240	0.6	15	0.7	0.2	
0	0	0	2.89351851851852E-07	0	0	41.195	SpawnRate	0.005	100	600	3	240	0.6	15	0.7	0.2	
0	0	0	2.89351851851852E-07	0	0	42.195	SpawnRate	0.005	100	600	3	240	0.6	15	0.7	0.2	
