LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	speed	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	1.47569444444444E-05	0	0	1.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	2.98032407407407E-05	0	0	2.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	4.51388888888889E-05	0	0	3.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	6.00405092592593E-05	0	0	4.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	7.45081018518518E-05	0	0	5.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	9.01331018518518E-05	0	0	6.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0.000106047453703704	0	0	7.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0.000120081018518519	0	0	8.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0	0	0	0.000135271990740741	0	0	9.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.3405256	0.08228985	0.4781533	0.000150318287037037	6	0	10.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.4430088	0.1714859	0.4272942	0.000165943287037037	16	6	11.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.4946066	0.1213933	-0.3352315	0.000180844907407407	17	10	12.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.4198689	0.1185135	-0.4734848	0.000195891203703704	43	1	13.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.4339759	0.174142	0.4384337	0.000211371527777778	81	26	14.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.3794448	0.115765	-0.4169298	0.0002265625	128	38	15.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.477429	0.1816235	0.3947888	0.000241174768518519	179	47	16.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.3480945	0.1709884	0.4248561	0.000255931712962963	263	51	17.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.4244202	0.1081384	-0.2599142	0.000271267361111111	342	84	18.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.3115279	0.08322147	0.4833652	0.000285734953703704	470	79	19.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.4708384	0.07720426	0.3090588	0.00030005787037037	623	128	20.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.3171198	0.1164761	-0.4557497	0.000314091435185185	873	153	21.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.4361621	0.1199242	-0.5031596	0.000329571759259259	1149	250	22.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.4159932	0.1094453	0.3131774	0.000344762731481481	1506	276	23.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.394191	0.1253917	-0.4383571	0.000359664351851852	1996	357	24.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.4805267	0.1042255	0.1231074	0.000374131944444444	2548	490	25.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.01721783	0.0849923	0.4615265	0.000388744212962963	3130	552	26.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.3093034	0.1072859	0.2570884	0.000403356481481481	3734	582	27.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.3138671	0.08061378	0.2965326	0.000418547453703704	4508	604	28.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.3593229	0.215186	0.1700806	0.000433449074074074	5324	774	29.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.458615	0.2184627	-0.271398	0.000447771990740741	6530	816	30.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.3390428	0.09703576	0.4854239	0.000462528935185185	7832	1206	31.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.3072247	0.09790143	0.229944	0.0004765625	9034	1302	32.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.407425	0.3161774	0.06769978	0.000491536458333333	10595	1202	33.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.471475	0.1337909	-0.1834843	0.000506076388888889	12482	1561	34.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
-0.2375742	0.3429591	-0.3105829	0.000521556712962963	14529	1887	35.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.2320643	0.1111207	0.1536233	0.000535734953703704	16762	2047	36.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.2278338	0.2359035	-0.2784151	0.000549334490740741	19203	2233	37.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
0.3714422	0.5398185	-0.2278739	0.000564380787037037	21933	2441	38.915	SpawnRate	10	0.05	200	10	0	240	0.6	15	0.7	0.2	
