LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	speed	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0	0	0	0	0	0	0.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	1.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	2.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	3.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	4.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	5.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	6.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	7.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	8.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	9.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	10.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	11.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0	0	0	0	0	0	12.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.5079163	0.1445349	0.4900889	0	1	0	13.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.5128824	0.1331378	0.5069233	0	3	1	14.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.5128824	0.1331378	0.5069233	0	3	2	15.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.4361359	0.1295348	-0.5133949	0	4	0	16.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.4361359	0.1295348	-0.5133949	0	4	1	17.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.4361359	0.1295348	-0.5133949	0	4	0	18.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.4361359	0.1295348	-0.5133949	0	4	0	19.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.4361359	0.1295348	-0.5133949	0	4	0	20.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
-0.3955237	0.07813522	0.320034	0	6	0	21.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
-0.3955237	0.07813522	0.320034	0	6	2	22.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
-0.3955237	0.07813522	0.320034	0	6	0	23.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.4730627	0.1426206	-0.5003302	0	8	0	24.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.494012	0.1250656	-0.5211723	0	11	2	25.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.494012	0.1250656	-0.5211723	0	11	3	26.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
-0.4508697	0.1853874	-0.2250448	0	16	0	27.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
-0.4445874	0.2037357	-0.2691093	0	19	5	28.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
-0.4633329	0.1993774	-0.2901203	0	29	3	29.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
0.1245807	0.09896919	0.3847711	0	49	10	30.66	SpawnRate	0.5	0.4	3000	10	0	240	0.6	15	0.7	0.2	
