LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0.1525414	0.1083689	0.4841294	1.93865740740741E-05	13	0	20.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3489469	0.1446772	0.4208595	2.03993055555556E-05	15	5	21.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4468722	0.2063343	0.4119627	2.1484375E-05	20	2	22.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3495883	0.09808332	0.4762054	2.24247685185185E-05	24	5	23.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3459289	0.0912225	0.4424484	2.3365162037037E-05	31	4	24.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4501419	0.0743306	-0.2536657	2.43778935185185E-05	46	7	25.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.5056912	0.2142974	-0.331791	2.51736111111111E-05	55	15	26.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4833036	0.1161579	-0.4314148	2.61140046296296E-05	72	9	27.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4243388	0.1210248	-0.4887566	2.71267361111111E-05	83	17	28.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2478609	0.1183903	-0.1383699	2.82841435185185E-05	96	11	29.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3516726	0.1821077	0.4608121	2.91521990740741E-05	104	13	30.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4314372	0.3819891	0.08557478	3.01649305555556E-05	117	8	31.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.0587148	0.11562	-0.3481321	3.11053240740741E-05	137	13	32.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4007089	0.1172005	-0.5004018	3.19733796296296E-05	164	20	33.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4535608	0.1231821	-0.04535589	3.30584490740741E-05	188	27	34.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.08088792	0.1567942	-0.4224831	3.40711805555556E-05	210	24	35.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4502729	0.1275474	-0.1263425	3.5083912037037E-05	267	22	36.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3050679	0.1235866	-0.135877	3.60243055555556E-05	290	57	37.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.154604	0.1571669	0.4809462	3.69646990740741E-05	329	23	38.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3848185	0.1036692	0.3002015	3.78327546296296E-05	369	39	39.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4579369	0.09456623	0.3071756	3.87731481481482E-05	412	40	40.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3244656	0.09192058	-0.4980153	3.95688657407407E-05	467	43	41.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.2320043	0.578182	-0.4523371	4.05092592592593E-05	531	55	42.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3871491	0.3528336	0.2771492	4.14496527777778E-05	598	64	43.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1912691	0.0853029	0.08319159	4.23900462962963E-05	652	67	44.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2594173	0.4321627	0.1939138	4.31134259259259E-05	708	54	45.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.3718987	0.2865199	0.1730908	4.38368055555556E-05	775	56	46.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
0.227929	0.1140135	-0.1498129	4.4849537037037E-05	892	67	47.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2656733	0.3471308	0.09820852	4.56452546296296E-05	980	117	48.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
