time	collisionFrequency	density	variance	alignmentGain	cohesionGain	separationGain	migrationGain	orthSepGain	a	c	speed	maxForce	flockingInterval	SOIRadius	
0	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
1.00093	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
2.004335	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
3.004523	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
4.000708	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
5.005	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
6.005	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
7.005	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
8.004751	0	0	0	1	1	1	1	0	20	3	20	20	0.1	25	
9.005	0	1.25E-05	3139.43235758607	1	1	1	1	0	20	3	20	20	0.1	25	
10.00089	0	1.25E-05	2755.19077845788	1	1	1	1	0	20	3	20	20	0.1	25	
11.005	0	2.5E-05	1071.54455308998	1	1	1	1	0	20	3	20	20	0.1	25	
12.005	0	2.5E-05	1003.8195484316	1	1	1	1	0	20	3	20	20	0.1	25	
13.00082	0	2.5E-05	1914.23054018763	1	1	1	1	0	20	3	20	20	0.1	25	
14.005	0	3.75E-05	1104.46546625034	1	1	1	1	0	20	3	20	20	0.1	25	
15.005	0	2.5E-05	1268.73316136419	1	1	1	1	0	20	3	20	20	0.1	25	
16.005	0	2.5E-05	1268.97516556092	1	1	1	1	0	20	3	20	20	0.1	25	
17.005	0	2.5E-05	1455.73061742444	1	1	1	1	0	20	3	20	20	0.1	25	
18.00151	0	2.5E-05	1498.35309675165	1	1	1	1	0	20	3	20	20	0.1	25	
19.005	0	2.5E-05	1978.77005232124	1	1	1	1	0	20	3	20	20	0.1	25	
20.005	0	2.5E-05	1978.82045001597	1	1	1	1	0	20	3	20	20	0.1	25	
21.005	0	2.5E-05	1942.82715172637	1	1	1	1	0	20	3	20	20	0.1	25	
22.005	0	2.5E-05	1945.37212119571	1	1	1	1	0	20	3	20	20	0.1	25	
23.005	0	2.5E-05	1454.25315871494	1	1	1	1	0	20	3	20	20	0.1	25	
24.005	0	2.5E-05	1229.41900971745	1	1	1	1	0	20	3	20	20	0.1	25	
25.005	0	2.5E-05	2296.0435280171	1	1	1	1	0	20	3	20	20	0.1	25	
26.005	0	2.5E-05	2531.501352836	1	1	1	1	0	20	3	20	20	0.1	25	
27.005	0	2.5E-05	3524.61798707811	1	1	1	1	0	20	3	20	20	0.1	25	
28.005	0	2.5E-05	3524.15484547103	1	1	1	1	0	20	3	20	20	0.1	25	
29.005	0	2.5E-05	2339.12121722779	1	1	1	1	0	20	3	20	20	0.1	25	
30.005	0	2.5E-05	2338.32695638378	1	1	1	1	0	20	3	20	20	0.1	25	
31.005	0	2.5E-05	2892.51156173651	1	1	1	1	0	20	3	20	20	0.1	25	
32.005	0	2.5E-05	2891.95252027701	1	1	1	1	0	20	3	20	20	0.1	25	
33.005	0	2.5E-05	2986.46977400618	1	1	1	1	0	20	3	20	20	0.1	25	
34.005	0	2.5E-05	2990.25823747804	1	1	1	1	0	20	3	20	20	0.1	25	
35.005	0	2.5E-05	3172.2780303637	1	1	1	1	0	20	3	20	20	0.1	25	
36.005	0	2.5E-05	3172.75642282244	1	1	1	1	0	20	3	20	20	0.1	25	
37.005	0	1.875E-05	4311.73299428558	1	1	1	1	0	20	3	20	20	0.1	25	
38.005	0	2.5E-05	4130.27864142995	1	1	1	1	0	20	3	20	20	0.1	25	
39.005	0	1.875E-05	2853.8820171431	1	1	1	1	0	20	3	20	20	0.1	25	
40.005	0	2.5E-05	2159.01722001452	1	1	1	1	0	20	3	20	20	0.1	25	
41.005	0	2.5E-05	2160.90074112394	1	1	1	1	0	20	3	20	20	0.1	25	
42.005	0	2.5E-05	2619.12012344189	1	1	1	1	0	20	3	20	20	0.1	25	
43.005	0	2.5E-05	2623.54682774522	1	1	1	1	0	20	3	20	20	0.1	25	
44.005	0	2.5E-05	2647.34809645193	1	1	1	1	0	20	3	20	20	0.1	25	
45.005	0	2.5E-05	2647.74727489075	1	1	1	1	0	20	3	20	20	0.1	25	
46.005	0	2.5E-05	1762.85299119014	1	1	1	1	0	20	3	20	20	0.1	25	
47.005	0	2.5E-05	1763.65833171034	1	1	1	1	0	20	3	20	20	0.1	25	
48.005	0	2.5E-05	1815.93015279036	1	1	1	1	0	20	3	20	20	0.1	25	
49.005	0	2.5E-05	1815.53519527263	1	1	1	1	0	20	3	20	20	0.1	25	
50.005	0	3.125E-05	2038.4779107607	1	1	1	1	0	20	3	20	20	0.1	25	
51.005	0	2.5E-05	3163.46903571165	1	1	1	1	0	20	3	20	20	0.1	25	
52.005	0	2.5E-05	2476.15961355133	1	1	1	1	0	20	3	20	20	0.1	25	
53.005	0	2.5E-05	3190.25958239722	1	1	1	1	0	20	3	20	20	0.1	25	
54.005	0	2.5E-05	3911.46786923117	1	1	1	1	0	20	3	20	20	0.1	25	
55.005	0	2.5E-05	1816.08211477565	1	1	1	1	0	20	3	20	20	0.1	25	
56.005	0	2.5E-05	1638.42476152955	1	1	1	1	0	20	3	20	20	0.1	25	
57.005	0	3.75E-05	793.056809637349	1	1	1	1	0	20	3	20	20	0.1	25	
58.005	0	2.5E-05	1259.89547068099	1	1	1	1	0	20	3	20	20	0.1	25	
59.005	0	2.5E-05	933.369245201737	1	1	1	1	0	20	3	20	20	0.1	25	
60.005	0	2.5E-05	938.853213378579	1	1	1	1	0	20	3	20	20	0.1	25	
61.005	0	2.5E-05	2622.17992686896	1	1	1	1	0	20	3	20	20	0.1	25	
62.005	0	2.5E-05	2723.08316111725	1	1	1	1	0	20	3	20	20	0.1	25	
63.005	0	2.5E-05	3061.62943353483	1	1	1	1	0	20	3	20	20	0.1	25	
64.005	0	2.5E-05	2175.15415864142	1	1	1	1	0	20	3	20	20	0.1	25	
65.005	0	1.25E-05	6809.89362683248	1	1	1	1	0	20	3	20	20	0.1	25	
66.005	0	2.5E-05	1078.46109633868	1	1	1	1	0	20	3	20	20	0.1	25	
67.005	0	2.5E-05	1070.66281147629	1	1	1	1	0	20	3	20	20	0.1	25	
68.005	0	2.5E-05	316.839250082958	1	1	1	1	0	20	3	20	20	0.1	25	
69.005	0	2.5E-05	246.998199523377	1	1	1	1	0	20	3	20	20	0.1	25	
70.005	0	1.25E-05	1136.60874773327	1	1	1	1	0	20	3	20	20	0.1	25	
71.005	0	2.5E-05	1247.58184863948	1	1	1	1	0	20	3	20	20	0.1	25	
72.005	0	1.25E-05	6556.30261387617	1	1	1	1	0	20	3	20	20	0.1	25	
73.005	0	2.5E-05	2645.43073120836	1	1	1	1	0	20	3	20	20	0.1	25	
74.005	0	2.5E-05	2646.89927472044	1	1	1	1	0	20	3	20	20	0.1	25	
75.005	0	2.5E-05	2655.45021851611	1	1	1	1	0	20	3	20	20	0.1	25	
76.005	0	2.5E-05	2655.41615555406	1	1	1	1	0	20	3	20	20	0.1	25	
77.005	0	1.875E-05	1881.06362231215	1	1	1	1	0	20	3	20	20	0.1	25	
78.005	0	2.5E-05	4630.62691844654	1	1	1	1	0	20	3	20	20	0.1	25	
